RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;AdjstdQt;AdjstdQtTax;RefPric;TradQty;FinInstrmQty;NtlFinVol;Industry
2025-01-27;BOVA11.SA;BRBOVACTF003;CASH;119,17;121,87;121,1;121,87;2,02;;;;189662.0;7550976.0;914487894,54;N/A
2025-01-27;NVDC34.SA;BRNVDCBDR008;CASH;14,38;15,84;15,03;14,61;-16,84;;;;162077.0;23795036.0;357852689,49;Semiconductors
2025-01-27;WEGE3.SA;BRWEGEACNOR0;CASH;52,8;56,73;53,86;53,31;-7,87;;;;68328.0;22361900.0;1204619104;Specialty Industrial Machinery
2025-01-27;VALE3.SA;BRVALEACNOR0;CASH;52,57;53,98;53,58;53,96;1,75;;;;53601.0;24531300.0;1314507461;Other Industrial Metals & Mining
2025-01-27;GARE11.SA;BRGARECTF001;CASH;7,85;7,99;7,92;7,86;-0,38;;;;50230.0;953542.0;7558079,99;N/A
2025-01-27;MXRF11.SA;BRMXRFCTF008;CASH;9,08;9,16;9,1;9,1;-0,65;;;;49099.0;1344277.0;12237961,21;REIT - Diversified
2025-01-27;B3SA3.SA;BRB3SAACNOR6;CASH;10,29;10,56;10,48;10,56;1,83;;;;48402.0;52771300.0;553285609;Financial Data & Stock Exchanges
2025-01-27;BBDC4.SA;BRBBDCACNPR8;CASH;11,28;11,58;11,5;11,58;2,47;;;;47101.0;80300500.0;923794731;Banks - Regional
2025-01-27;ITUB4.SA;BRITUBACNPR1;CASH;32,31;33,31;33,03;33,24;2,4;;;;44862.0;20227700.0;668132483;Banks - Regional
2025-01-27;PETR4.SA;BRPETRACNPR6;CASH;36,47;37,3;37,03;37,18;1,47;;;;43025.0;29809700.0;1103954520;Oil & Gas Integrated
2025-01-27;RBRF11.SA;BRRBRFCTF003;CASH;6,14;6,32;6,21;6,18;-1,59;;;;42985.0;645865.0;4014159,8;REIT - Diversified
2025-01-27;HAPV3.SA;BRHAPVACNOR4;CASH;2,28;2,41;2,36;2,38;3,93;;;;40882.0;70688700.0;167201760;Insurance - Life
2025-01-27;BBAS3.SA;BRBBASACNOR3;CASH;26,55;27,71;27,38;27,71;4,09;;;;37550.0;21719600.0;594862538;Banks - Regional
2025-01-27;SMAL11.SA;BRSMALCTF002;CASH;87,02;90,62;90,1;90,51;2,78;;;;37175.0;2594176.0;233760673,88;N/A
2025-01-27;ASAI3.SA;BRASAIACNOR0;CASH;6,12;6,82;6,61;6,62;7,64;;;;36705.0;27192000.0;179901231;Grocery Stores
